anio_registro,millas_recorridas,precio_vehiculo,num_asientos,num_puertas,complejidad_reparacion,costo_reparacion,horas_reparacion,marca2_Audi,marca2_BMW,marca2_Citroen,marca2_Ford,marca2_Nissan,marca2_OTROS,marca2_Peugeot,marca2_Toyota,marca2_Vauxhall,marca2_Volkswagen
2007.0,73866.0,1295.0,5.0,3.0,1,72.95,3.0,0,0,0,1,0,0,0,0,0,0
2014.0,55850.0,9000.0,5.0,5.0,1,254.95,9.0,0,0,0,0,0,0,0,1,0,0
2010.0,30712.0,4995.0,5.0,5.0,1,89.95,2.0,0,0,0,0,0,0,0,0,1,0
2007.0,113710.0,2461.0,5.0,5.0,2,144.61,6.0,0,0,0,0,0,1,0,0,0,0
2017.0,12500.0,18500.0,5.0,5.0,2,138.5,6.0,0,0,0,0,0,1,0,0,0,0
2016.0,12600.0,13291.0,5.0,5.0,1,11.3291,0.5,0,0,0,1,0,0,0,0,0,0
2019.0,9331.0,31646.0,5.0,5.0,1,51.646,1.0,0,0,0,0,0,1,0,0,0,0
2011.0,46984.0,8767.0,5.0,5.0,1,215.34,2.0,0,0,0,0,1,0,0,0,0,0
2007.0,136000.0,1795.0,5.0,5.0,1,77.95,3.0,0,0,0,1,0,0,0,0,0,0
2012.0,47810.0,7500.0,5.0,5.0,3,255.0,9.0,0,0,0,0,0,1,0,0,0,0
2000.0,63486.0,600.0,5.0,5.0,3,120.6,6.0,0,0,0,0,0,1,0,0,0,0
2017.0,8200.0,8450.0,5.0,5.0,1,28.45,1.0,0,0,0,0,0,1,0,0,0,0
2014.0,86079.0,4000.0,5.0,5.0,1,23.6,1.0,0,1,0,0,0,0,0,0,0,0
2018.0,50.0,22695.0,5.0,5.0,1,12.2695,0.5,0,0,0,0,0,1,0,0,0,0
2015.0,54662.0,12995.0,7.0,5.0,1,189.95,3.0,0,0,0,0,0,0,0,0,0,1
2013.0,65288.0,30440.0,2.0,2.0,3,33.044,1.5,0,0,0,0,0,1,0,0,0,0
2017.0,10578.0,25290.0,5.0,5.0,1,42.761,1.0,0,0,0,0,0,0,0,1,0,0
2001.0,96000.0,1495.0,2.0,2.0,1,54.95,2.0,0,0,0,0,0,1,0,0,0,0
2008.0,82546.0,3795.0,5.0,5.0,1,23.795,1.0,0,0,0,1,0,0,0,0,0,0
2014.0,10757.0,9000.0,5.0,5.0,1,10.8999,0.5,0,0,0,1,0,0,0,0,0,0
2005.0,79901.0,5500.0,4.0,3.0,1,21.65,1.0,0,0,0,0,0,1,0,0,0,0
2018.0,1250.0,13450.0,4.0,5.0,1,309.0,2.0,0,0,0,0,0,1,0,0,0,0
2005.0,126000.0,2995.0,5.0,5.0,1,99.9,2.0,0,0,0,1,0,0,0,0,0,0
2018.0,7408.0,25495.0,7.0,5.0,2,614.95,18.0,0,0,0,0,0,1,0,0,0,0
2015.0,48189.0,16873.0,5.0,5.0,1,348.73,9.0,1,0,0,0,0,0,0,0,0,0
