edad,ingresos_familiares,asistencia,horas_estudio,tiempo_redes_sociales,calificacion_final
19.0,75000.0,93.0,12.0,,aprueba
21.0,60000.0,86.0,3.0,15.0,reprueba
19.0,40000.0,80.0,2.0,13.0,reprueba
21.0,40000.0,75.0,5.0,6.0,aprueba
22.0,50000.0,72.0,2.0,10.0,reprueba
21.0,40000.0,79.0,18.0,6.0,reprueba
21.0,50000.0,96.0,20.0,6.0,aprueba
20.0,50000.0,79.0,3.0,11.0,reprueba
19.0,40000.0,71.0,20.0,3.0,aprueba
21.0,50000.0,98.0,2.0,12.0,reprueba
22.0,30000.0,68.0,,14.0,reprueba
18.0,60000.0,93.0,16.0,13.0,reprueba
18.0,75000.0,80.0,12.0,3.0,aprueba
18.0,60000.0,91.0,6.0,12.0,reprueba
22.0,40000.0,74.0,4.0,12.0,reprueba
18.0,,79.0,3.0,12.0,reprueba
21.0,,81.0,8.0,2.0,aprueba
18.0,,75.0,8.0,6.0,aprueba
22.0,75000.0,82.0,2.0,12.0,reprueba
22.0,60000.0,96.0,11.0,6.0,aprueba
20.0,75000.0,,5.0,5.0,reprueba
22.0,60000.0,70.0,9.0,1.0,reprueba
19.0,60000.0,93.0,4.0,5.0,reprueba
19.0,30000.0,84.0,8.0,4.0,aprueba
,40000.0,73.0,3.0,3.0,reprueba
19.0,40000.0,74.0,4.0,,reprueba
20.0,50000.0,76.0,17.0,1.0,aprueba
21.0,60000.0,91.0,4.0,10.0,reprueba
22.0,40000.0,65.0,5.0,15.0,reprueba
20.0,60000.0,76.0,2.0,12.0,reprueba
20.0,75000.0,97.0,3.0,15.0,reprueba
20.0,40000.0,77.0,6.0,5.0,aprueba
18.0,50000.0,85.0,11.0,5.0,aprueba
21.0,40000.0,80.0,6.0,5.0,aprueba
22.0,75000.0,74.0,11.0,14.0,reprueba
19.0,60000.0,73.0,4.0,14.0,reprueba
18.0,30000.0,79.0,16.0,1.0,aprueba
22.0,75000.0,81.0,17.0,1.0,aprueba
19.0,60000.0,79.0,17.0,6.0,aprueba
21.0,60000.0,73.0,16.0,5.0,aprueba
20.0,30000.0,94.0,2.0,2.0,reprueba
20.0,75000.0,71.0,5.0,4.0,aprueba
21.0,60000.0,78.0,12.0,1.0,aprueba
20.0,40000.0,79.0,3.0,4.0,reprueba
21.0,40000.0,66.0,9.0,13.0,reprueba
18.0,60000.0,70.0,14.0,4.0,aprueba
20.0,50000.0,82.0,20.0,5.0,aprueba
20.0,50000.0,100.0,3.0,4.0,reprueba
20.0,60000.0,79.0,18.0,13.0,reprueba
18.0,40000.0,96.0,14.0,6.0,aprueba
19.0,50000.0,79.0,4.0,10.0,reprueba
21.0,40000.0,88.0,11.0,3.0,aprueba
21.0,30000.0,96.0,11.0,1.0,aprueba
18.0,30000.0,89.0,15.0,3.0,reprueba
19.0,30000.0,75.0,11.0,13.0,reprueba
22.0,75000.0,92.0,19.0,5.0,aprueba
19.0,40000.0,94.0,16.0,3.0,aprueba
22.0,50000.0,94.0,13.0,5.0,reprueba
20.0,40000.0,66.0,2.0,10.0,reprueba
19.0,30000.0,91.0,5.0,11.0,reprueba
20.0,50000.0,78.0,10.0,6.0,aprueba
19.0,60000.0,77.0,2.0,11.0,reprueba
18.0,75000.0,70.0,8.0,1.0,aprueba
18.0,40000.0,76.0,8.0,6.0,aprueba
22.0,30000.0,85.0,3.0,13.0,reprueba
21.0,60000.0,79.0,4.0,12.0,reprueba
19.0,75000.0,78.0,3.0,13.0,reprueba
19.0,50000.0,71.0,12.0,5.0,aprueba
19.0,40000.0,71.0,3.0,13.0,reprueba
21.0,60000.0,92.0,18.0,5.0,aprueba
21.0,60000.0,97.0,17.0,11.0,reprueba
20.0,30000.0,72.0,14.0,5.0,aprueba
19.0,60000.0,65.0,15.0,13.0,reprueba
20.0,75000.0,87.0,13.0,13.0,reprueba
20.0,75000.0,86.0,2.0,14.0,reprueba
22.0,75000.0,80.0,2.0,14.0,reprueba
20.0,60000.0,83.0,16.0,2.0,aprueba
21.0,40000.0,71.0,20.0,4.0,aprueba
22.0,75000.0,72.0,2.0,15.0,reprueba
19.0,40000.0,77.0,10.0,10.0,reprueba
18.0,75000.0,75.0,3.0,15.0,reprueba
21.0,75000.0,91.0,4.0,11.0,reprueba
21.0,60000.0,66.0,3.0,6.0,reprueba
18.0,75000.0,82.0,13.0,13.0,reprueba
19.0,75000.0,92.0,17.0,3.0,aprueba
22.0,50000.0,84.0,2.0,11.0,reprueba
18.0,60000.0,85.0,11.0,4.0,aprueba
21.0,30000.0,70.0,2.0,13.0,reprueba
21.0,50000.0,99.0,19.0,5.0,aprueba
22.0,30000.0,75.0,16.0,3.0,aprueba
18.0,60000.0,99.0,2.0,13.0,reprueba
19.0,60000.0,98.0,4.0,10.0,reprueba
22.0,60000.0,93.0,8.0,10.0,reprueba
21.0,75000.0,72.0,4.0,11.0,reprueba
20.0,40000.0,69.0,4.0,13.0,reprueba
18.0,50000.0,70.0,13.0,3.0,aprueba
20.0,75000.0,69.0,5.0,14.0,reprueba
19.0,75000.0,75.0,5.0,4.0,reprueba
21.0,75000.0,68.0,2.0,2.0,reprueba
20.0,75000.0,86.0,14.0,4.0,aprueba
22.0,30000.0,69.0,5.0,11.0,reprueba
20.0,30000.0,82.0,10.0,4.0,aprueba
19.0,50000.0,91.0,7.0,6.0,aprueba
21.0,30000.0,81.0,12.0,3.0,aprueba
20.0,60000.0,73.0,3.0,15.0,reprueba
19.0,30000.0,100.0,15.0,5.0,aprueba
19.0,75000.0,87.0,10.0,3.0,aprueba
21.0,50000.0,91.0,3.0,13.0,reprueba
